resistance,width1,length1,width2,length2,gate_voltage,drain_voltage,source_voltage,current_source_voltage,power,speed,gain,topology,gate_voltage_num,drain_voltage_num
,50u,90n,2u,90n,500m,400m,,,2.598e-06,146500000.0,0.5401,CS_diode_load,0.5,0.4
,50u,90n,10u,90n,500m,400m,,,1.114e-05,631200000.0,0.5361,CS_diode_load,0.5,0.4
,50u,90n,50u,90n,500m,400m,,,6.835e-05,4029000000.0,0.5531,CS_diode_load,0.5,0.4
,2u,90n,2u,90n,600m,400m,,,2.237e-06,1949000000.0,0.3459,CS_diode_load,0.6,0.4
,2u,90n,10u,90n,600m,400m,,,6.868e-06,6212000000.0,0.3386,CS_diode_load,0.6,0.4
,2u,90n,50u,90n,600m,400m,,,1.78e-05,18450000000.0,0.3359,CS_diode_load,0.6,0.4
,10u,90n,2u,90n,600m,400m,,,2.53e-06,445800000.0,0.3548,CS_diode_load,0.6,0.4
,10u,90n,10u,90n,600m,400m,,,1.004e-05,1789000000.0,0.3509,CS_diode_load,0.6,0.4
,10u,90n,50u,90n,600m,400m,,,4.477e-05,8524000000.0,0.3559,CS_diode_load,0.6,0.4
,50u,90n,2u,90n,600m,400m,,,2.615e-06,84610000.0,0.3293,CS_diode_load,0.6,0.4
,50u,90n,10u,90n,600m,400m,,,1.145e-05,371100000.0,0.3268,CS_diode_load,0.6,0.4
,50u,90n,50u,90n,600m,400m,,,8.037e-05,2644000000.0,0.3369,CS_diode_load,0.6,0.4
,2u,90n,2u,90n,700m,400m,,,2.37e-06,1245000000.0,0.2162,CS_diode_load,0.7000000000000001,0.4
,2u,90n,10u,90n,700m,400m,,,8.09e-06,4335000000.0,0.2115,CS_diode_load,0.7000000000000001,0.4
,2u,90n,50u,90n,700m,400m,,,2.559e-05,14850000000.0,0.2075,CS_diode_load,0.7000000000000001,0.4
,10u,90n,2u,90n,700m,400m,,,2.564e-06,273100000.0,0.2209,CS_diode_load,0.7000000000000001,0.4
,10u,90n,10u,90n,700m,400m,,,1.063e-05,1138000000.0,0.2188,CS_diode_load,0.7000000000000001,0.4
,10u,90n,50u,90n,700m,400m,,,5.575e-05,6187000000.0,0.2212,CS_diode_load,0.7000000000000001,0.4
,50u,90n,2u,90n,700m,400m,,,2.621e-06,51770000.0,0.2063,CS_diode_load,0.7000000000000001,0.4
,50u,90n,10u,90n,700m,400m,,,1.156e-05,228500000.0,0.2048,CS_diode_load,0.7000000000000001,0.4
,50u,90n,50u,90n,700m,400m,,,8.539e-05,1702000000.0,0.2113,CS_diode_load,0.7000000000000001,0.4
,2u,90n,2u,90n,800m,400m,,,2.433e-06,835000000.0,0.1436,CS_diode_load,0.8,0.4
,2u,90n,10u,90n,800m,400m,,,8.776e-06,3054000000.0,0.1407,CS_diode_load,0.8,0.4
,2u,90n,50u,90n,800m,400m,,,3.125e-05,11520000000.0,0.1381,CS_diode_load,0.8,0.4
,10u,90n,2u,90n,800m,400m,,,2.585e-06,179600000.0,0.1465,CS_diode_load,0.8,0.4
,10u,90n,10u,90n,800m,400m,,,1.09e-05,760600000.0,0.145,CS_diode_load,0.8,0.4
,10u,90n,50u,90n,800m,400m,,,6.236e-05,4457000000.0,0.1469,CS_diode_load,0.8,0.4
,50u,90n,2u,90n,800m,400m,,,2.623e-06,34090000.0,0.1374,CS_diode_load,0.8,0.4
,50u,90n,10u,90n,800m,400m,,,1.16e-05,150900000.0,0.1364,CS_diode_load,0.8,0.4
,50u,90n,50u,90n,800m,400m,,,8.783e-05,1148000000.0,0.1409,CS_diode_load,0.8,0.4
,2u,90n,2u,90n,900m,400m,,,2.467e-06,585700000.0,0.1002,CS_diode_load,0.9,0.4
,2u,90n,10u,90n,900m,400m,,,9.193e-06,2207000000.0,0.09837,CS_diode_load,0.9,0.4
,2u,90n,50u,90n,900m,400m,,,3.536e-05,8862000000.0,0.09642,CS_diode_load,0.9,0.4
,10u,90n,2u,90n,900m,400m,,,2.593e-06,124400000.0,0.1019,CS_diode_load,0.9,0.4
,10u,90n,10u,90n,900m,400m,,,1.105e-05,531900000.0,0.1009,CS_diode_load,0.9,0.4
,10u,90n,50u,90n,900m,400m,,,6.654e-05,3265000000.0,0.1025,CS_diode_load,0.9,0.4
,50u,90n,2u,90n,900m,400m,,,2.624e-06,23650000.0,0.09591,CS_diode_load,0.9,0.4
,50u,90n,10u,90n,900m,400m,,,1.163e-05,104800000.0,0.09521,CS_diode_load,0.9,0.4
,50u,90n,50u,90n,900m,400m,,,8.921e-05,807700000.0,0.0984,CS_diode_load,0.9,0.4
,2u,90n,2u,90n,500m,500m,,,6.826e-06,9717000000.0,0.7188,CS_diode_load,0.5,0.5
,2u,90n,10u,90n,500m,500m,,,1.023e-05,17550000000.0,0.7082,CS_diode_load,0.5,0.5
,2u,90n,50u,90n,500m,500m,,,1.214e-05,22130000000.0,0.5967,CS_diode_load,0.5,0.5
,10u,90n,2u,90n,500m,500m,,,1.251e-05,3226000000.0,0.7519,CS_diode_load,0.5,0.5
,10u,90n,10u,90n,500m,500m,,,3.09e-05,9022000000.0,0.7288,CS_diode_load,0.5,0.5
,10u,90n,50u,90n,500m,500m,,,4.952e-05,18070000000.0,0.7196,CS_diode_load,0.5,0.5
,50u,90n,2u,90n,500m,500m,,,1.587e-05,720000000.0,0.7174,CS_diode_load,0.5,0.5
,50u,90n,10u,90n,500m,500m,,,6.232e-05,2899000000.0,0.6993,CS_diode_load,0.5,0.5
,50u,90n,50u,90n,500m,500m,,,0.0002347,12640000000.0,0.7076,CS_diode_load,0.5,0.5
,2u,90n,2u,90n,600m,500m,,,1.016e-05,7436000000.0,0.4376,CS_diode_load,0.6,0.5
,2u,90n,10u,90n,600m,500m,,,2.127e-05,17410000000.0,0.4163,CS_diode_load,0.6,0.5
,2u,90n,50u,90n,600m,500m,,,3.371e-05,34630000000.0,0.4155,CS_diode_load,0.6,0.5
,10u,90n,2u,90n,600m,500m,,,1.449e-05,2071000000.0,0.4655,CS_diode_load,0.6,0.5
,10u,90n,10u,90n,600m,500m,,,4.634e-05,6939000000.0,0.4438,CS_diode_load,0.6,0.5
,10u,90n,50u,90n,600m,500m,,,0.0001175,21000000000.0,0.4396,CS_diode_load,0.6,0.5
,50u,90n,2u,90n,600m,500m,,,1.624e-05,421400000.0,0.4384,CS_diode_load,0.6,0.5
,50u,90n,10u,90n,600m,500m,,,6.853e-05,1794000000.0,0.4291,CS_diode_load,0.6,0.5
,50u,90n,50u,90n,600m,500m,,,0.0003451,9565000000.0,0.4304,CS_diode_load,0.6,0.5
,2u,90n,2u,90n,700m,500m,,,1.189e-05,5125000000.0,0.2758,CS_diode_load,0.7000000000000001,0.5
,2u,90n,10u,90n,700m,500m,,,2.927e-05,13430000000.0,0.2575,CS_diode_load,0.7000000000000001,0.5
,2u,90n,50u,90n,700m,500m,,,5.696e-05,30660000000.0,0.2484,CS_diode_load,0.7000000000000001,0.5
,10u,90n,2u,90n,700m,500m,,,1.523e-05,1307000000.0,0.2915,CS_diode_load,0.7000000000000001,0.5
,10u,90n,10u,90n,700m,500m,,,5.431e-05,4771000000.0,0.2787,CS_diode_load,0.7000000000000001,0.5
,10u,90n,50u,90n,700m,500m,,,0.0001722,16690000000.0,0.2679,CS_diode_load,0.7000000000000001,0.5
,50u,90n,2u,90n,700m,500m,,,1.637e-05,259000000.0,0.2749,CS_diode_load,0.7000000000000001,0.5
,50u,90n,10u,90n,700m,500m,,,7.085e-05,1126000000.0,0.2698,CS_diode_load,0.7000000000000001,0.5
,50u,90n,50u,90n,700m,500m,,,0.0004033,6612000000.0,0.2726,CS_diode_load,0.7000000000000001,0.5
,2u,90n,2u,90n,800m,500m,,,1.283e-05,3584000000.0,0.1846,CS_diode_load,0.8,0.5
,2u,90n,10u,90n,800m,500m,,,3.464e-05,10110000000.0,0.1718,CS_diode_load,0.8,0.5
,2u,90n,50u,90n,800m,500m,,,7.576e-05,24760000000.0,0.1626,CS_diode_load,0.8,0.5
,10u,90n,2u,90n,800m,500m,,,1.558e-05,870000000.0,0.1936,CS_diode_load,0.8,0.5
,10u,90n,10u,90n,800m,500m,,,5.858e-05,3325000000.0,0.1859,CS_diode_load,0.8,0.5
,10u,90n,50u,90n,800m,500m,,,0.0002108,12770000000.0,0.1774,CS_diode_load,0.8,0.5
,50u,90n,2u,90n,800m,500m,,,1.643e-05,170900000.0,0.1832,CS_diode_load,0.8,0.5
,50u,90n,10u,90n,800m,500m,,,7.192e-05,750700000.0,0.18,CS_diode_load,0.8,0.5
,50u,90n,50u,90n,800m,500m,,,0.0004354,4643000000.0,0.1833,CS_diode_load,0.8,0.5
,2u,90n,2u,90n,900m,500m,,,1.339e-05,2578000000.0,0.1295,CS_diode_load,0.9,0.5
,2u,90n,10u,90n,900m,500m,,,3.832e-05,7648000000.0,0.1208,CS_diode_load,0.9,0.5
,2u,90n,50u,90n,900m,500m,,,9.049e-05,19790000000.0,0.1135,CS_diode_load,0.9,0.5
,10u,90n,2u,90n,900m,500m,,,1.576e-05,607100000.0,0.1349,CS_diode_load,0.9,0.5
,10u,90n,10u,90n,900m,500m,,,6.11e-05,2384000000.0,0.13,CS_diode_load,0.9,0.5
,10u,90n,50u,90n,900m,500m,,,0.0002381,9779000000.0,0.1242,CS_diode_load,0.9,0.5
,50u,90n,2u,90n,900m,500m,,,1.646e-05,118700000.0,0.1279,CS_diode_load,0.9,0.5
,50u,90n,10u,90n,900m,500m,,,7.25e-05,524300000.0,0.1258,CS_diode_load,0.9,0.5
,50u,90n,50u,90n,900m,500m,,,0.0004548,3346000000.0,0.1288,CS_diode_load,0.9,0.5
