resistance,width1,length1,width2,length2,gate_voltage,drain_voltage,source_voltage,current_source_voltage,power,speed,gain,topology,gate_voltage_num,drain_voltage_num
,2u,90n,50u,90n,900m,660.4m,,400m,0.0001145,18810000000.0,0.2222,CS_Current_source_load,0.9,0.6604
,3.42u,90n,2u,90n,900m,660.4m,,400m,6.02e-06,509400000.0,0.004706,CS_Current_source_load,0.9,0.6604
,3.42u,90n,10u,90n,900m,660.4m,,400m,2.847e-05,2441000000.0,0.02319,CS_Current_source_load,0.9,0.6604
,3.42u,90n,50u,90n,900m,660.4m,,400m,0.0001179,10700000000.0,0.1148,CS_Current_source_load,0.9,0.6604
,5.848u,90n,2u,90n,900m,660.4m,,400m,6.024e-06,299000000.0,0.002805,CS_Current_source_load,0.9,0.6604
,5.848u,90n,10u,90n,900m,660.4m,,400m,2.857e-05,1429000000.0,0.01363,CS_Current_source_load,0.9,0.6604
,5.848u,90n,50u,90n,900m,660.4m,,400m,0.0001198,6203000000.0,0.06346,CS_Current_source_load,0.9,0.6604
,10u,90n,2u,90n,900m,660.4m,,400m,6.027e-06,175200000.0,0.001661,CS_Current_source_load,0.9,0.6604
,10u,90n,10u,90n,900m,660.4m,,400m,2.863e-05,836200000.0,0.008003,CS_Current_source_load,0.9,0.6604
,10u,90n,50u,90n,900m,660.4m,,400m,0.0001209,3600000000.0,0.03588,CS_Current_source_load,0.9,0.6604
,17.1u,90n,2u,90n,900m,660.4m,,400m,6.028e-06,99450000.0,0.0008347,CS_Current_source_load,0.9,0.6604
,17.1u,90n,10u,90n,900m,660.4m,,400m,2.867e-05,474000000.0,0.003999,CS_Current_source_load,0.9,0.6604
,17.1u,90n,50u,90n,900m,660.4m,,400m,0.0001217,2033000000.0,0.01751,CS_Current_source_load,0.9,0.6604
,29.24u,90n,2u,90n,900m,660.4m,,400m,6.029e-06,57260000.0,0.0004536,CS_Current_source_load,0.9,0.6604
