resistance,width1,length1,width2,length2,gate_voltage,drain_voltage,source_voltage,current_source_voltage,power,speed,gain,topology,gate_voltage_num,source_voltage_num
500,50u,90n,,,700m,,300m,,0.0001707,4611000000.0,0.5123,CD_resistive_bias,0.7000000000000001,0.3
500,2u,90n,,,700m,,400m,,7.048e-05,63410000000.0,0.3384,CD_resistive_bias,0.7000000000000001,0.4
500,3.168u,90n,,,700m,,400m,,0.0001041,58850000000.0,0.4299,CD_resistive_bias,0.7000000000000001,0.4
500,5.017u,90n,,,700m,,400m,,0.0001492,50370000000.0,0.508,CD_resistive_bias,0.7000000000000001,0.4
500,7.946u,90n,,,700m,,400m,,0.0001974,37050000000.0,0.5529,CD_resistive_bias,0.7000000000000001,0.4
500,12.58u,90n,,,700m,,400m,,0.0002479,24040000000.0,0.5717,CD_resistive_bias,0.7000000000000001,0.4
500,19.93u,90n,,,700m,,400m,,0.000273,15660000000.0,0.5834,CD_resistive_bias,0.7000000000000001,0.4
500,31.57u,90n,,,700m,,400m,,0.000293,9777000000.0,0.5833,CD_resistive_bias,0.7000000000000001,0.4
500,50u,90n,,,700m,,400m,,0.0003033,6201000000.0,0.5852,CD_resistive_bias,0.7000000000000001,0.4
500,2u,90n,,,700m,,500m,,9.451e-05,68300000000.0,0.3545,CD_resistive_bias,0.7000000000000001,0.5
500,3.168u,90n,,,700m,,500m,,0.0001408,64780000000.0,0.4522,CD_resistive_bias,0.7000000000000001,0.5
500,5.017u,90n,,,700m,,500m,,0.0002067,59930000000.0,0.5482,CD_resistive_bias,0.7000000000000001,0.5
500,7.946u,90n,,,700m,,500m,,0.0002894,49320000000.0,0.6157,CD_resistive_bias,0.7000000000000001,0.5
500,12.58u,90n,,,700m,,500m,,0.0003811,31770000000.0,0.6334,CD_resistive_bias,0.7000000000000001,0.5
500,19.93u,90n,,,700m,,500m,,0.0004241,20160000000.0,0.6413,CD_resistive_bias,0.7000000000000001,0.5
